NAME,YEAR_EST,UNIQUE_ID_ROUND____STATE____ACC,TYPE,SITE_TYPE,FACILITY_TYPE,PROGRAM_TYPE,LAT,LNG,ADDRESS1,CITY,REGION,STATE,ZIP,COUNTY,ADDITIONAL_LOCATION_INFO,CONGRESSIONAL_DISTRICT,RELIGION,RACE,URL,VISITOR_PHONE,VISITOR_INFO_EMAIL,OPEN,COUNTRY,NPS_UNIT,PARK_NAME,PARK_CODE,NATIONAL_HISTORIC_ID,NPS_REGION,ASSOCIATED_PEOPLE,ASSOCIATED_ORGANIZATIONS,FREEDOM_SEEKERS,UGRROPS,Stamps,ABSTRACT
Murphy Orchards,2001,01NY01,Program,Station,,"Public Program,Performance,Living History,Other",43.299331,-78.724744,2402 McClew Road,Burt,Northeast,New York,14028,Niagara,,29,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,Charles and Libby McClew,No,"Farmstead in the Town of Newfane, New York, owned by Charles and Libby McCLew in 1850. Extensive, long-standing local folklore identifies the McClews as ""station masters"" of the Underground Railroad. The farmstead remains virtually unchanged and is still a privately-owned working farm enterprise. All grounds and facilities are open year-round to the public. Guided Underground Railroad tours and presentations have been developed and conducted for over ten years. Tours include walking trails through a 30-acre ""wilderness"" area on the farm which has been dedicated to this purpose. Hopkins Creek, which flows through the property, is believed to have been an important geographic feature used to navigate towards other safe havens and ultimately to Canada. A10x12-foot chamber under the barn (probably built as a cistern) is believed to have been used as a hiding place by people escaping from slavery for many years. The entrance to the chamber and all interpretive displays are accessible for viewing to all visitors. Underground Railroad reenactments have been conducted and filmed on site, and segments have been shown throughout New York State by PBS Television and will be distributed this year by the State University of New York to all public and private schools in New York State. An archeological study of the site is in progress, concentrating on the significance of cultural material uncovered parallel with the period of the Underground Railroad, and on collected folklore and oral history from the local community indicting the use of the farm as an Underground Railroad ""station."" Public displays have been developed, are continually expanded, and will incorporate exhibits of archeological methods, artifacts and of the significance of cultural anthropological studies and oral traditions to historical research of the Underground Railroad."
Richardson-Bates House Museum,2001,01NY02,Facility,,"Archive,Research Center",,43.455137,-76.503893,135 East Third Street,Oswego,Northeast,New York,13126,Oswego,,24,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,"Edwin W. Clarke,John B. Edwards",No,"The collections of the Richardson-Bates House Museum, owned and operated by the Oswego County Historical Society, reflect all aspects of the history of Oswego County, New York. Several items, such as letters, poster paintings, photographs, and books pertain to the abolition movement and the Underground Railroad in the area."
John P. Parker House,2001,01OH02,Site,Station,,,38.749189,-83.849017,P.O. Box 264,Ripley,Midwest,Ohio,45167,Brown,,2,,,https://www.cr.nps.gov/nr/travel/underground/oh2.html,No,No,Yes,USA,No,,,,Midwest,,,,John P. Parker,Yes,"The John P. Parker house in Ripley, Ohio was the home of a formerly enslaved African who purchased his freedom and became a crusader to abolish slavery with his courageous work as a conductor on the Underground Railroad. With only one documented exception, Parker did not hide freedom seekers at his Front Street property, but he lived and worked there at his iron foundry, starting as early as 1853. Rather than playing a role as an abolitionist speaker or activist in anti-slavery societies, Parker is significant for his unflagging and often heroic efforts to rescue freedom seekers from across the Ohio River, frequently returning to Kentucky to lead freedom seekers to safety. Parker's story is recorded in an autobiography His Promised Land. In addition to his work with the Underground Railroad, Parker is important as an inventor who earned three patents in the 19th century. His restored home is a National Historic Landmark and an Official Project of Save America's Treasures."
Robert Fee House,2001,01OH03,Site,Station,,,38.856242,-84.232738,Water Street,Moscow,Midwest,Ohio,45176,Clermont,,2,,,https://www.visitclermontohio.com/,No,No,Yes,USA,No,,,,Midwest,,,,"Jacob Ebersole,Nancy Fee,Robert E. Fee,Thomas Fee Jr.,Thomas Fee Sr.",No,"This was the homesite of Robert E. Fee, a member of Clermont County's most prominent Underground Railroad family. His father Thomas, brother Thomas, sister Nancy and cousins in nearby Felicity are documented conductors. Robert married Catherine Ebersole, sister of Underground railroad conductor Jacob Ebersole. He became the agent of Vincent Wigglesworth whose family was kidnapped and enslaved. Fee traveled twice to Missouri in two unsuccessful attempts to gain the family's freedom. He became involved in the Underground Railroad. His home was frequently surrounded by slave hunters. He was indicted by Pendleton County, Kentucky, for slave stealing."
Underground Railroad and Its Connection to the Ohio Valley,2001,01OH04,Program,,,Public Program,40.149547,-81.066386,206 High Street,Flushing,Midwest,Ohio,43977,Belmont,,18,,,http://www.ugrrf.org/,No,No,Yes,USA,No,,,,Midwest,,,,,No,"The objective of the ""Underground Railroad and its Connection to the Ohio Valley"" program is to educate the general public with the emphasis on youth. Our program, which is taken to the public, includes the use of hands on materials contained in the ""Traveling Trunk."" We are committed to increasing public knowledge of the Underground Railroad, the lives of countless freedom seekers that fought and struggled in order to escape slavery in the south by crossing the Ohio River particularly in the area of Wheeling, Virginia, and the abolitionists who were relentless in their condemnation of slavery."
Rokeby Museum,2001,01VT01,Site,Station,,,44.223107,-73.238877,4334 Route 7,Ferrisburgh,Northeast,Vermont,5456,Addison,,N/A,,,http://rokeby.org/,No,rokeby@adelphia.net,Yes,USA,No,,,,Northeast,,,,"Rachel Gilpin Robinson,Rowland Thomas",No,"Rokeby Museum is a 90-acre historic site and National Historic Landmark, designated for its Underground Railroad history. The site was the home and farm of a remarkable Quaker family through four generations and nearly 200 years (1793-1961). The second generation of the family €Rowland Thomas and Rachel Gilpin Robinson€ were radical abolitionists who participated in reform activities both locally and nationally and sheltered many freedom seekers. The record of these African-American freedom seekers is retained in family correspondence."
Milton House Museum,2001,01WI01,Site,Station,,,42.777423,-88.936405,18 South Janesville Street,Milton,Midwest,Wisconsin,53563,Rock,"Milton Hist. Society Archives, 742 E Madison St.",1,,,http://www.miltonhouse.org,No,miltonhouse@miltonhouse.org,Yes,USA,No,,,72000065,Midwest,,,,Joseph Goodrich,No,"The Milton House Museum is an 1844 stagecoach inn in Milton Wisconsin constructed of lime-mortar and hexagonal in shape. It was built by Milton's founder, Joseph Goodrich, a staunch abolitionist and member of the Seventh Day Baptist Church. Goodrich also constructed a dirt tunnel between the inn and the 1837 log cabin to the rear of the inn. Goodrich secretly harbored freedom seekers in the cellar of the Milton House using the tunnel as the exit and entrance to the cellar. Here he and his family would provide assistance to the freedom seekers. Goodrich and his family also conducted freedom seekers to other stops as they continued the journey toward the Great Lakes and on to Canada."
Milton House Museum (tour),2001,01WI02,Program,,,Tour,42.777423,-88.936405,18 South Janesville Street,Milton,Midwest,Wisconsin,53563,Rock,"Milton Hist. Society Archives, 742 E Madison St.",1,,,http://www.miltonhouse.org,No,miltonhouse@miltonhouse.org,Yes,USA,No,,,72000065,Midwest,,,,,No,"The Milton House Museum interprets the inn and Goodrich cabin as stops on the Underground Railroad, focusing on activities of the Goodrich family and area abolitionists, conductors and station masters in the Milton and Wisconsin area through an interpretive guided tour of the buildings and an exhibit."
Racine Heritage Museum,2001,01WI03,Facility,,"Archive,Research Center",,42.7256,-87.782564,701 South Main Street,Racine,Midwest,Wisconsin,53403,Racine,,1,,,http://www.spiritofinN/Avation.org/,No,inquire@clmail.com,Yes,USA,No,,,81000056,Midwest,,,Joshua Glover,Sherman Booth,Yes,"Joshua Glover, a freedom seeker, lived and worked in Racine for two years before he was captured in 1854 and jailed in Milwaukee. In Racine, a gathering in the square sent a delegation to Milwaukee, which joined Milwaukee citizens to break open the jail and free Glover. He shuttled on the Underground Railroad throughout Southeastern Wisconsin and finally escaped through Racine harbor on a ship for Canada. Later, a newspaper editor, Sherman Booth, was sentenced and jailed for violating the fugitive slave law for helping Glover. The Wisconsin Supreme Court nullified that law and refused to conform with Federal law. The eventual formation of the Republican Party was also accelerated by the Glover incident. Today in Racine, the Glover story has been celebrated and re-enacted. The Racine Heritage Museum has had a permanent exhibit about Glover, the Underground Railroad, and the Civil War era in Racine County. The section about Glover and the Underground Railroad was significantly expanded."
Footsteps to Freedom Study Tour,2001,02CA01,Program,,,"Public Program,Other",33.984131,-117.373076,The Black Voice News,Riverside,Pacific West,California,92501,Riverside,,42 & 43,,,https://blackvoicenews.com/2019/10/15/footsteps-to-freedom-2/,No,No,No,USA,No,,,,Pacific West,,,,,No,"The Footsteps to Freedom program study tour is designed to preserve, document, and teach participants about the secret movement known as the Underground Railroad. This program began in response to the National Underground Railroad Network to Freedom Act and is designed to commemorate and interpret the Underground Railroad (UGRR). This program believes that a more accurate study of the UGRR would focus on the desperate struggle for human freedom made by a large, multi-racial, tightly organized group of freedom seekers, abolitionists, and men and women in North America who saw liberty as a value worth risking everything to achieve. Participants travel a probable route from Kentucky to Canada and visit sites and hear stories of the UGRR movement."
Frederick Douglass National Historic Site,2001,02DC01,Site,Commemorative Site/Monument,,,38.863973,-76.984866,"1411 W. Street, SE",Washington,National Capital,DC,20020,Washington D.C.,,N/A,,,N/A,202-426-5961,No,Yes,USA,Yes,Frederick Douglass National Historic Site,FRDO,,National Capital,Civil War,,Frederick Douglass,,Yes,"Frederick Douglass National Historic Site, the site of Cedar Hill in Washington, DC, is the best place to commemorate the life of Frederick Douglass. The great nineteenth century leader Frederick Douglass was a freedom seeker and a conductor on the Underground Railroad, as well as being the author of three autobiographies and the editor of three newspapers. His newspapers published articles on freedom seekers and championed the cause of abolition of slavery. Cedar Hill was Douglass' last home and the site where he wrote his third autobiography. After Douglass escaped from slavery in Maryland, Douglass lived in New Bedford, Massachusetts, and then Rochester, New York. After his escape, Douglass quickly became an orator making the life of a bondsman real to a multitude of audiences. In Rochester his home became a station on the Underground Railroad, and he published his newspapers, the most famous of which was The North Star."
Hitchcock House,2001,02IA01,Site,"Station,Cemetery",,,41.309982,-95.103602,63788 567th Lane,Lewis,Midwest,Iowa,51544,Cass,0.53 mi. w. and 0.47 mi. s. of Lewis,4,Congregational,,http://www.hitchcockhouse.org/,No,No,Yes,USA,No,,,,Midwest,,,,George B. Hitchcock,No,"Hitchcock House was a station on the Underground Railroad. Built in 1856 by Congregational minister George B. Hitchcock, the house served as a station for fugitive slaves escaping from Missouri, but more important, fugitives escaping from Kansas Territory during the ""bleeding Kansas"" period found Hitchcock House a place of safety and rest on their way to freedom in Canada."
Todd House,2001,02IA02,Site,Station,,,40.898404,-95.676199,705 Park St.,Tabor,Midwest,Iowa,51653,Fremont,,4,Congregational,,http://www.taboriowahistoricalsociety.org/todd.html,No,No,No,USA,No,,,,Midwest,,,,"Rev. Amos Noah Freeman,Reverend John Todd",No,"The Todd House was the home of the Reverend John Todd and was a stop on the Underground Railroad. The Todd House and Tabor, Iowa were a meeting place for many of the leading abolitionists in the United States during the 1850's, such as: John Brown, James Lane, and Samuel Gridley Howe. It was also a stop on the famed Jim Lane trail. The Todd House is one of only four registered stops on the Underground Railroad in Iowa, and it is certified by the National Park Service and the National Register of Historic Places. The Reverend Todd and the colony at Tabor were dedicated to the proposition that everyone including women and people of color deserved an equal opportunity for a college education. They started a college in Tabor that espoused those beliefs. Inside the Todd House is a museum that has many visitors each year especially children on school visits. The Todd house has been featured on Iowa Public Television in connection with educational programs on the Underground Railroad. In 1999, the Todd House started a program of going through all the papers of the Reverend Todd, indexing them and compiling them for future publication and display."
Camp Warren Levis,2001,02IL01,Site,,,,38.940139,-90.225925,550 Boy Scout Lane,Godfrey,Midwest,Illinois,62035,Madison,,20,,,N/A,No,No,No,USA,No,,,,Midwest,,,,,No,"Camp Warren Levis, a current day portion of the area known as Rocky Fork in Godfrey, Illinois was one of the first ""Free"" state stops for slaves escaping Missouri as early as 1816. The area continued to serve in this capacity as an Underground Railroad stop and escapee community until well after the Missouri Emancipation Proclamation of 1865. Various family stories, community memories and documents attest to the significance of the area. Since 1921, part of the Rocky Fork area has been used as a Boy Scout Camp however, evidence still exists of the escapees and their helpers."
Dr. Richard Eells House,2001,02IL02,Site,"Station,Legal Challenge",,,39.930678,-91.409481,415 Jersey Street,Quincy,Midwest,Illinois,62301,Adams,,17,,,https://eellshousequincy.com/,217-223-1800,No,"Saturdays 1-4, April through November.",USA,No,,,,Midwest,Judge Stephen A. Douglas,,"Charley (IL, 1842)",Dr. Richard Eells,Yes,"The site is the 1835 residence of Dr. Richard Eells, a Quincy doctor and abolitionist who was arrested and charged in 1842 with harboring a fugitive enslaved African American named Charley. Fined $400 by Judge Stephen A. Douglas, Eells lost appeals to the Illinois and United States Supreme Courts."
Owen Lovejoy House,2001,02IL03,Site,Station,,,41.400689,-89.462948,Route 6 East,Princeton,Midwest,Illinois,61356,Bureau,,17,Congregational,,http://owenlovejoyhomestead.com/,No,No,Yes,USA,No,,,,Midwest,,,,Rev. Owen Lovejoy,No,The Owen Lovejoy Home is an 1838 Greek Revival style building that is listed on the National Register of Historic Places; it is also one of the best documented Underground Railroad Stations in Illinois. It was the home of the Denham and Lovejoy families for nearly 100 years (1838-1931). Reverend Owen Lovejoy was its most famous resident and occupied the house from 1838-1864. He was an outspoken abolitionist and openly proclaimed his willingness to assist fugitive slaves. His involvement made this house one of the most important stations on the Underground Railroad in Illinois. The Owen Lovejoy Home now belongs to the City of Princeton and was opened as a museum in 1972. The United States Secretary of the Interior declared the property a National Historic Landmark in 1997.
Kimzey Crossing/Locust Hill,2001,02IL04,Site,Station,,,38.11252,-89.22988,7883 Kimzey Road,Tamaroa,Midwest,Illinois,62888,Perry,,12,,,N/A,No,No,No,USA,No,,,,Midwest,,,Jim Gray,Benajah Guernsey Roots,No,"Kimzey Crossing, formerly known as Locust Hill, was the home of Benajah Guernsey Roots, civil engineer, educator, agriculturist and abolitionist, who moved from Connecticut to Illinois in 1837. Initially settling in Shaweentown, Roots soon relocated to a 1200-acre farm south of Tamaroa, where he built a five-room log cabin, began Locust Hill Academy, and, according to family tradition, began aiding runaway slaves. The current 12-room mansion was built along the Shawneetown to St. Louis trail between 1854 and 1856. Benajah G. Roots' documented involvement in Underground Railroad activity stems from his physical and protracted intervention in the case of freedom-seeker Jim Gray in October 1859, as Roots sought through legal redress to prevent Gray's kidnapping by slave catchers. Roots presented testimony regarding the Gray incident as a defense witness in the Chicago trial of John Hossack in February 1860. B. G. Roots' participation in the Gray incident tends to lend credence to oft repeated family tradition that Roots was active in the Underground Railroad and that his Locust Hill property served as a station (both the original log-cabin, no longer extant, the 1850s mansion), and as a small post-Emancipation settlement and burial ground for former freedom seekers. Unfortunately, extensive twentieth century alterations to the property's landscape, buildings and structures have destroyed these purported hiding places and habitations."
Indiana Freedom Trails Educational and Research Program,2001,02IN01,Program,,,"Public Program,School Program",39.767228,-86.163521,Indiana Freedom Trails,Indianapolis,Midwest,Indiana,46206,Marion,,7,,,http://www.indianafreedomtrails.org,No,No,Yes,USA,No,,,,Midwest,,,,,No,"Begun in 1998, Indiana Freedom Trails (IFT) started as a committee of the State Historic Preservation Office. The project has developed into a cohesive, diverse group working to locate, verify, protect, preserve, and promote those Indiana sites and routes involved in the Underground Railroad (UGRR). IFT members dedicate themselves and their resources to the research, education, interpretation, and reverence of Indiana's UGRR heritage for the benefit of future generations. The group includes representatives of state agencies, historical societies, and libraries, along with private individuals; all of whom are volunteers. Volunteers work within their regions to research the sites in their area, then the group places these regional sites into statewide context and how the sites and individuals are related. The group is beginning to work with researchers in other states to connect Indiana's sites with other state's sites."
"Underground Railroad in Floyd County, Indiana",2001,02IN03,Program,,,Public Program,38.286477,-85.82177,Carnegie Center for Art and History,New Albany,Midwest,Indiana,47150,Floyd,,9,,,N/A,No,No,Yes,USA,No,,,,Midwest,,,,,Yes,"The primary goal of this program is to assist the public in its understanding of the flight and plight of runaway slaves as they crossed the Ohio River into Floyd County, Indiana, prior to and throughout the Civil War period. Floyd County is in a very unique spot in that it stretches thirteen miles along the Ohio River across from Louisville, Kentucky. There were, therefore, border problems and ensuing complications for slaves who attempted to cross the river through this metropolitan area. Slave catchers and police worked together and easily crossed the river using the ferry and railroad systems. Therefore, escape through this area was very difficult. Newspapers frequently reported on capture of runaway slaves in this southern Indiana region. This program conveys the problems but also gives documented examples of slaves who were able to escape through Floyd County on their own as well as with the help of local citizens. The free African American community was primarily responsible for assistance, but help also came from white, anti-slavery church members.

The program also emphasizes the fact that the Underground Railroad was still in operation in this area after President Lincoln gave the Emancipation Proclamation. Because Kentucky was a Union state, the proclamation did not apply to Kentucky slaves. Many slaves ignored that fact, however. Between January 1, 1863, and the end of the Civil War, Floyd County was flooded with fugitives from slavery. The Indiana Exclusion Act of 1851 was not rescinded until 1866. That coupled with the fact that bias against blacks continued to exist, meant that benevolent activity of any kind toward runaway slaves and contraband families had to be suppressed. The program manager makes use of overhead transparencies and shares her extensive research of census records, church and court records, newspapers and oral histories."
River Road African American Museum and Gallery,2001,02LA01,Facility,,"Archive,Research Center",Exhibit,30.101465,-90.990045,406 Charles Street,Donaldsonville,Southeast,Louisiana,70346,Ascension,,2,,,http://www.africanamericanmuseum.org/,No,kathe@aamuseum.org,Yes,USA,No,,,,Southeast,,,,,Yes,"Opened in March 1994, the River Road African American Museum Gallery (RRAAMG) serves as an important repository of African American history, art, and artifacts in Louisiana. The RRAAMG is the only facility in south Louisiana's ""plantation country"" dedicated to telling the history of enslaved people who labored on area plantations. The Museum's permanent collection include a wide variety of resources including documents pertaining to the 18ll Slave Revolt, slave narratives from the WPA referencing the river parishes in south Louisiana, antebellum newspaper advertisements, personal letters, and oral histories."
